ppg,abp
1.0731311,77.65935
1.1302212,79.741264
1.2779367,79.465675
1.281034,85.05175
1.2658632,84.34267
1.3367388,86.849365
1.3500448,90.00371
1.5167943,93.74053
1.5536406,94.05045
1.5026997,96.66211
1.610022,96.89843
1.5518832,99.86138
1.6984605,100.59198
1.6646776,101.479
1.6047047,104.489876
1.7629588,106.55294
1.6450708,108.23505
1.6997956,108.90682
1.7359129,110.45949
1.8197833,110.24126
1.6438506,109.82915
1.6559116,110.89129
1.7175692,112.91039
1.7331066,112.45688
1.7657485,111.587494
1.7646959,114.47375
1.6922785,115.93043
1.7482284,113.89195
1.6474746,111.04257
1.7428205,113.3071
1.6764845,112.449875
1.6680937,107.87109
1.7092317,112.906456
1.5972078,111.705025
1.6299381,109.99484
1.5611084,110.00861
1.5151304,110.36205
1.56014,109.75902
1.6007748,106.52818
1.5923002,107.63154
1.5196368,104.7498
1.4553366,107.195244
1.5522522,103.000046
1.4977236,101.97453
1.401783,103.18121
1.4042654,101.62982
1.4684936,97.677444
1.5561866,94.61943
1.3834726,95.458885
1.4886993,92.1605
1.4061887,91.90756
1.3574944,91.54829
1.4235148,89.64783
1.3605199,91.46999
1.4123713,88.3672
1.4298447,86.25154
1.4519678,86.68307
1.3855325,86.10114
1.3838214,84.125984
1.3669325,81.12072
1.3119658,80.71424
1.344008,80.781265
1.3116316,79.90369
1.1868911,79.438126
1.2588049,73.9749
1.2795153,73.2622
1.3000339,71.91456
1.1788863,69.395515
1.1646513,73.86813
1.1452384,67.862495
1.1769981,68.7431
1.0453753,67.74431
1.1424772,68.66137
0.9958079,63.700356
0.81430817,65.557556
0.9761632,64.295845
1.0050342,61.983868
0.9217181,59.069084
0.90584385,58.839867
0.913486,56.78668
0.91702795,56.488487
0.80446994,53.436962
0.8879422,56.825512
0.90717375,51.73922
0.8619066,54.005676
0.89064884,50.549194
0.90700054,48.286644
0.81346947,47.534817
0.8459819,47.414055
0.89110816,48.14517
0.9821767,43.828423
0.82289016,46.973564
0.8037513,43.37567
0.83188987,43.01509
0.79456747,42.61075
0.8570186,42.92763
0.8213741,41.854263
0.80103093,40.0
0.8146037,40.0
0.7354177,40.0
0.67840815,40.0
0.60607827,40.0
0.66850466,40.241024
0.5826421,40.0
0.613357,40.0
0.5924023,40.0
0.47752225,40.17288
0.5857194,41.9405
0.6192934,40.0
0.52063084,42.004654
0.53367555,46.64473
0.5923532,48.595345
0.51683766,46.826546
0.5542727,48.21285
0.5252575,51.101585
0.67684555,50.129192
0.6558896,54.5765
0.643071,53.725216
0.82756335,56.319584
0.85413814,58.763264
0.96076393,60.520607
0.9164462,63.263954
0.98403215,63.905594
1.0618663,63.935074
1.2039176,65.57511
1.237179,72.0526
1.2661709,75.086105
1.3374993,75.78849
1.3346982,78.98457
1.4740225,81.016556
1.540345,83.22025
1.5934318,83.1883
1.6062288,89.97729
1.6518573,88.813034
1.6649607,89.95741
1.7829344,94.498276
1.8730426,98.6578
1.9527743,94.5551
1.8426082,97.277115
1.8692137,102.59585
1.9889934,101.74104
1.9742359,103.71743
1.9379432,104.17576
1.9776161,104.320274
1.931788,106.17589
1.9095727,109.433716
1.9067073,108.646255
1.9703206,110.10555
2.0010407,114.48699
1.9975193,115.65158
1.8691297,115.75225
1.8953377,114.33306
1.8467944,112.26692
1.9637889,113.2409
2.0286264,112.107216
1.8988454,112.33178
1.8250229,115.07448
1.8843359,114.3176
1.9715328,111.71445
1.845873,112.213
1.8227357,111.1984
1.7923976,108.67763
1.7531765,107.726204
1.7176613,111.71695
1.7302015,108.44858
